start_lat,start_lon,end_lat,end_lon,airport1,airport2,delayRate
39.85841,-104.66700,32.44663,-93.82560,DEN,SHV,0.35185185185185186
26.07258,-80.15275,27.97547,-82.53325,FLL,TPA,0.10084033613445378
40.97812,-124.10862,37.61900,-122.37484,ACV,SFO,0.24482758620689654
39.17540,-76.66820,30.3578,-85.7938,BWI,ECP,0.5
31.80667,-106.37781,36.08036,-115.15233,ELP,LAS,0.18699186991869918
34.20062,-118.35850,47.44898,-122.30931,BUR,SEA,0.16129032258064516
33.64044,-84.42694,30.19453,-97.66987,ATL,AUS,0.10139165009940358
39.85841,-104.66700,34.42621,-119.84037,DEN,SBA,0.35833333333333334
32.84711,-96.85177,29.64542,-95.27889,DAL,HOU,0.155955441302485
35.39309,-97.60073,33.43417,-112.00806,OKC,PHX,0.2672413793103448
42.21206,-83.34884,36.89461,-76.20122,DTW,ORF,0.18181818181818182
38.50887,-107.89383,37.61900,-122.37484,MTJ,SFO,0.2222222222222222
38.81809,-92.21963,32.89595,-97.03720,COU,DFW,0.21008403361344538
38.85208,-77.03772,47.44898,-122.30931,DCA,SEA,0.16379310344827586
29.53369,-98.46978,38.74769,-90.35999,SAT,STL,0.20869565217391303
20.89865,-156.43046,41.97960,-87.90446,OGG,ORD,0.5555555555555556
39.87195,-75.24114,26.53617,-81.75517,PHL,RSW,0.2512820512820513
38.13864,-78.45286,40.77724,-73.87261,CHO,LGA,0.32608695652173914
39.85841,-104.66700,42.37423,-122.87350,DEN,MFR,0.29850746268656714
29.98047,-95.33972,28.42889,-81.31603,IAH,MCO,0.20997920997921
33.64044,-84.42694,32.12758,-81.20214,ATL,SAV,0.09887640449438202
39.85841,-104.66700,40.19350,-76.76340,DEN,MDT,0.75
36.08036,-115.15233,39.87195,-75.24114,LAS,PHL,0.19487179487179487
26.07258,-80.15275,40.49147,-80.23287,FLL,PIT,0.2076923076923077
33.94254,-118.40807,28.42889,-81.31603,LAX,MCO,0.14177215189873418
39.85841,-104.66700,33.66364,-101.82278,DEN,LBB,0.3333333333333333
44.88055,-93.21692,27.97547,-82.53325,MSP,TPA,0.12056737588652482
44.88055,-93.21692,37.50517,-77.31967,MSP,RIC,0.3269230769230769
29.64542,-95.27889,28.42889,-81.31603,HOU,MCO,0.22448979591836735
42.94052,-78.73217,35.21401,-80.94313,BUF,CLT,0.18181818181818182
41.78598,-87.75242,40.49147,-80.23287,MDW,PIT,0.21611721611721613
36.08036,-115.15233,41.78598,-87.75242,LAS,MDW,0.16389548693586697
42.21206,-83.34884,34.72940,-92.22425,DTW,LIT,0.13725490196078433
40.77724,-73.87261,25.79325,-80.29056,LGA,MIA,0.2946817785527463
40.69250,-74.16866,39.71733,-86.29438,EWR,IND,0.2543859649122807
40.63975,-73.77893,43.11119,-76.10631,JFK,SYR,0.2247191011235955
39.85841,-104.66700,41.59422,-109.06519,DEN,RKS,0.1794871794871795
44.88055,-93.21692,35.39309,-97.60073,MSP,OKC,0.19718309859154928
29.98047,-95.33972,47.44898,-122.30931,IAH,SEA,0.1464088397790055
30.19453,-97.66987,36.12448,-86.67818,AUS,BNA,0.13513513513513514
33.64044,-84.42694,40.66424,-89.69331,ATL,PIA,0.17796610169491525
42.21206,-83.34884,36.08036,-115.15233,DTW,LAS,0.1583011583011583
29.98047,-95.33972,36.08036,-115.15233,IAH,LAS,0.1434108527131783
40.69250,-74.16866,35.81249,-83.99286,EWR,TYS,0.16
44.88055,-93.21692,35.87764,-78.78747,MSP,RDU,0.1111111111111111
33.64044,-84.42694,40.48118,-107.21766,ATL,HDN,0.14814814814814814
46.60682,-111.98275,40.78839,-111.97777,HLN,SLC,0.09615384615384616
47.16842,-88.48906,41.97960,-87.90446,CMX,ORD,0.22448979591836735
33.64044,-84.42694,41.97960,-87.90446,ATL,ORD,0.2525879917184265
48.31140,-114.25507,41.97960,-87.90446,FCA,ORD,0.5555555555555556
38.85208,-77.03772,29.64542,-95.27889,DCA,HOU,0.14418604651162792
32.89595,-97.03720,31.06490,-97.82780,DFW,GRK,0.25794392523364484
25.79325,-80.29056,18.33731,-64.97336,MIA,STT,0.2916666666666667
36.08036,-115.15233,28.42889,-81.31603,LAS,MCO,0.23478260869565218
39.17540,-76.66820,39.90238,-84.21938,BWI,DAY,0.2037037037037037
33.43417,-112.00806,33.82922,-116.50625,PHX,PSP,0.10774410774410774
33.64044,-84.42694,27.39533,-82.55411,ATL,SRQ,0.06534090909090909
35.21401,-80.94313,44.88055,-93.21692,CLT,MSP,0.1619047619047619
30.58859,-96.36382,32.89595,-97.03720,CLL,DFW,0.30689655172413793
30.19453,-97.66987,26.07258,-80.15275,AUS,FLL,0.23577235772357724
33.64044,-84.42694,43.11887,-77.67238,ATL,ROC,0.13068181818181818
33.64044,-84.42694,30.20528,-91.98766,ATL,LFT,0.2154696132596685
21.31869,-157.92241,29.98047,-95.33972,HNL,IAH,0.26229508196721313
40.77724,-73.87261,32.12758,-81.20214,LGA,SAV,0.21739130434782608
35.21401,-80.94313,39.04614,-84.66217,CLT,CVG,0.13333333333333333
30.19453,-97.66987,33.66364,-101.82278,AUS,LBB,0.18
20.89865,-156.43046,33.43417,-112.00806,OGG,PHX,0.0707070707070707
29.64542,-95.27889,29.53369,-98.46978,HOU,SAT,0.13414634146341464
32.89595,-97.03720,42.88082,-85.52277,DFW,GRR,0.39819004524886875
44.88055,-93.21692,40.27669,-74.81347,MSP,TTN,0.6
42.36435,-71.00518,26.68316,-80.09559,BOS,PBI,0.25935828877005346
21.97598,-159.33896,33.43417,-112.00806,LIH,PHX,0.125
39.85841,-104.66700,36.77619,-119.71814,DEN,FAT,0.4
40.69250,-74.16866,34.89567,-82.21886,EWR,GSP,0.25742574257425743
40.69250,-74.16866,41.30252,-95.89417,EWR,OMA,0.15217391304347827
39.85841,-104.66700,44.12326,-123.21869,DEN,EUG,0.2909090909090909
33.94254,-118.40807,35.04242,-89.97667,LAX,MEM,0.05172413793103448
32.89595,-97.03720,32.31117,-90.07589,DFW,JAN,0.30952380952380953
39.17540,-76.66820,39.71733,-86.29438,BWI,IND,0.20496894409937888
28.42889,-81.31603,36.89461,-76.20122,MCO,ORF,0.20967741935483872
41.93887,-72.68323,41.41089,-81.84940,BDL,CLE,0.35714285714285715
41.97960,-87.90446,32.73356,-117.18966,ORD,SAN,0.19631901840490798
42.94722,-87.89658,47.44898,-122.30931,MKE,SEA,0.1111111111111111
40.27594,-79.40480,26.53617,-81.75517,LBE,RSW,0.23076923076923078
33.64044,-84.42694,35.87764,-78.78747,ATL,RDU,0.13348946135831383
39.67872,-75.60653,28.42889,-81.31603,ILG,MCO,0.2647058823529412
46.77411,-100.74672,44.88055,-93.21692,BIS,MSP,0.19047619047619047
47.44898,-122.30931,40.78839,-111.97777,SEA,SLC,0.13009708737864079
33.43417,-112.00806,40.78839,-111.97777,PHX,SLC,0.1464088397790055
13.48345,-144.79598,21.31869,-157.92241,GUM,HNL,0.2903225806451613
42.74812,-73.80298,36.08036,-115.15233,ALB,LAS,0.5
38.85208,-77.03772,41.78598,-87.75242,DCA,MDW,0.14680851063829786
41.41089,-81.84940,33.43417,-112.00806,CLE,PHX,0.20125786163522014
32.84711,-96.85177,32.73356,-117.18966,DAL,SAN,0.0967741935483871
39.85841,-104.66700,35.87764,-78.78747,DEN,RDU,0.1935483870967742
45.77690,-111.15301,37.61900,-122.37484,BZN,SFO,0.2
35.04022,-106.60919,33.43417,-112.00806,ABQ,PHX,0.21875
39.99799,-82.89188,41.97960,-87.90446,CMH,ORD,0.4175257731958763
40.69250,-74.16866,29.53369,-98.46978,EWR,SAT,0.5
39.17540,-76.66820,36.08036,-115.15233,BWI,LAS,0.16535433070866143
39.85841,-104.66700,34.72940,-92.22425,DEN,LIT,0.30526315789473685
38.94453,-77.45581,26.68316,-80.09559,IAD,PBI,0.29411764705882354
40.91631,-81.44247,39.85841,-104.66700,CAK,DEN,0.11290322580645161
24.55611,-81.75956,25.79325,-80.29056,EYW,MIA,0.07246376811594203
40.82493,-115.79170,40.78839,-111.97777,EKO,SLC,0.06557377049180328
35.21401,-80.94313,29.99339,-90.25803,CLT,MSY,0.15087719298245614
41.88459,-91.71087,42.21206,-83.34884,CID,DTW,0.20253164556962025
44.88055,-93.21692,33.82922,-116.50625,MSP,PSP,0.1016949152542373
32.89595,-97.03720,27.97547,-82.53325,DFW,TPA,0.175
32.89595,-97.03720,33.67566,-117.86822,DFW,SNA,0.13793103448275862
41.78598,-87.75242,32.11608,-110.94103,MDW,TUS,0.12903225806451613
39.85841,-104.66700,30.49406,-81.68786,DEN,JAX,0.25806451612903225
39.04614,-84.66217,26.07258,-80.15275,CVG,FLL,0.041666666666666664
39.71733,-86.29438,36.08036,-115.15233,IND,LAS,0.09482758620689655
42.77870,-84.58736,41.97960,-87.90446,LAN,ORD,0.3359375
35.04022,-106.60919,32.73356,-117.18966,ABQ,SAN,0.14150943396226415
32.89595,-97.03720,39.14097,-96.67083,DFW,MHK,0.20994475138121546
42.36435,-71.00518,40.69250,-74.16866,BOS,EWR,0.24736842105263157
21.31869,-157.92241,37.36186,-121.92901,HNL,SJC,0.25510204081632654
33.64044,-84.42694,30.78250,-83.27672,ATL,VLD,0.14705882352941177
29.64542,-95.27889,40.77724,-73.87261,HOU,LGA,0.3108108108108108
38.94453,-77.45581,35.81249,-83.99286,IAD,TYS,0.40625
28.42889,-81.31603,42.26734,-71.87571,MCO,ORH,0.05555555555555555
39.85841,-104.66700,26.53617,-81.75517,DEN,RSW,0.1721311475409836
40.63975,-73.77893,33.43417,-112.00806,JFK,PHX,0.276657060518732
41.78598,-87.75242,43.11887,-77.67238,MDW,ROC,0.23853211009174313
33.94254,-118.40807,32.11608,-110.94103,LAX,TUS,0.15714285714285714
33.94254,-118.40807,32.73356,-117.18966,LAX,SAN,0.16440831074977416
42.36435,-71.00518,39.17540,-76.66820,BOS,BWI,0.20839580209895053
40.77724,-73.87261,27.97547,-82.53325,LGA,TPA,0.25862068965517243
42.74812,-73.80298,26.07258,-80.15275,ALB,FLL,0.11940298507462686
41.97960,-87.90446,37.50517,-77.31967,ORD,RIC,0.34098360655737703
33.64044,-84.42694,29.17992,-81.05806,ATL,DAB,0.06722689075630252
32.89595,-97.03720,40.48118,-107.21766,DFW,HDN,0.25925925925925924
42.21206,-83.34884,36.19837,-95.88824,DTW,TUL,0.018518518518518517
35.21401,-80.94313,32.89595,-97.03720,CLT,DFW,0.13070283600493218
42.94722,-87.89658,33.43417,-112.00806,MKE,PHX,0.23376623376623376
39.17540,-76.66820,29.53369,-98.46978,BWI,SAT,0.18181818181818182
39.17540,-76.66820,38.17439,-85.73600,BWI,SDF,0.18012422360248448
40.69250,-74.16866,39.29761,-94.71391,EWR,MCI,0.17647058823529413
39.22316,-106.86885,29.98047,-95.33972,ASE,IAH,0.19696969696969696
42.21206,-83.34884,41.72400,-71.42822,DTW,PVD,0.21804511278195488
32.89595,-97.03720,36.77619,-119.71814,DFW,FAT,0.24
37.64996,-97.43305,36.08036,-115.15233,ICT,LAS,0.2903225806451613
39.99799,-82.89188,40.63975,-73.77893,CMH,JFK,0.35398230088495575
39.04614,-84.66217,43.13986,-89.33751,CVG,MSN,0.25
40.63975,-73.77893,18.43942,-66.00183,JFK,SJU,0.22082810539523212
19.73877,-156.04563,37.72129,-122.22072,KOA,OAK,0.1388888888888889
42.21206,-83.34884,32.12758,-81.20214,DTW,SAV,0.5
29.98047,-95.33972,33.43417,-112.00806,IAH,PHX,0.17970049916805325
29.64542,-95.27889,39.71733,-86.29438,HOU,IND,0.18309859154929578
45.58872,-122.59750,47.44898,-122.30931,PDX,SEA,0.23684210526315788
39.12241,-108.52673,40.78839,-111.97777,GJT,SLC,0.043859649122807015
32.89865,-80.04051,41.78598,-87.75242,CHS,MDW,0.16393442622950818
32.84711,-96.85177,39.85841,-104.66700,DAL,DEN,0.1945945945945946
21.97598,-159.33896,37.36186,-121.92901,LIH,SJC,0.1388888888888889
45.58872,-122.59750,37.36186,-121.92901,PDX,SJC,0.1343612334801762
39.17540,-76.66820,43.64617,-70.30875,BWI,PWM,0.16535433070866143
46.37450,-117.01539,40.78839,-111.97777,LWS,SLC,0.018867924528301886
33.64044,-84.42694,28.42889,-81.31603,ATL,MCO,0.11095305832147938
28.42889,-81.31603,41.72400,-71.42822,MCO,PVD,0.20175438596491227
33.43417,-112.00806,33.67566,-117.86822,PHX,SNA,0.155049786628734
29.98047,-95.33972,39.71733,-86.29438,IAH,IND,0.17796610169491525
39.85841,-104.66700,34.05600,-117.60119,DEN,ONT,0.23076923076923078
45.77690,-111.15301,39.85841,-104.66700,BZN,DEN,0.36774193548387096
32.89595,-97.03720,40.78839,-111.97777,DFW,SLC,0.2054263565891473
33.64044,-84.42694,32.84711,-96.85177,ATL,DAL,0.16227180527383367
42.94052,-78.73217,36.08036,-115.15233,BUF,LAS,0.21311475409836064
41.06696,-73.70757,26.53617,-81.75517,HPN,RSW,0.14285714285714285
35.21401,-80.94313,27.97547,-82.53325,CLT,TPA,0.11730769230769231
43.60732,-110.73774,40.63975,-73.77893,JAC,JFK,0.5
32.89595,-97.03720,37.50517,-77.31967,DFW,RIC,0.1774193548387097
33.64044,-84.42694,47.44898,-122.30931,ATL,SEA,0.11497326203208556
39.85841,-104.66700,37.64996,-97.43305,DEN,ICT,0.3373493975903614
40.85097,-96.75925,44.88055,-93.21692,LNK,MSP,0.08333333333333333
